id,title,type,release_year,age_certification,genres,imdb_id,imdb_score
tm191989,Donnie Brasco,MOVIE,1997,R,"['thriller', 'drama', 'crime']",tt0119008,7.7
ts20960,Power Rangers,SHOW,1993,TV-Y7,"['scifi', 'action', 'fantasy', 'family']",tt0106064,6.5
tm65686,U.S. Marshals,MOVIE,1998,PG-13,"['thriller', 'crime', 'action']",tt0120873,6.5
ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",tt0222518,6.2
tm54903,Wild Things,MOVIE,1998,R,"['drama', 'thriller', 'crime', 'european']",tt0194542,6.6
tm187187,Last Action Hero,MOVIE,1993,PG-13,"['comedy', 'action', 'fantasy']",tt0107362,6.4
tm191772,Seven Years in Tibet,MOVIE,1997,PG-13,"['drama', 'history', 'war']",tt0120102,7.1
tm191848,The Devil's Advocate,MOVIE,1997,,"['horror', 'thriller', 'drama']",tt0118971,7.5
tm121879,A River Runs Through It,MOVIE,1992,PG,['drama'],tt0105265,7.2
tm44402,"Girl, Interrupted",MOVIE,1999,R,"['drama', 'european']",tt0172493,7.3
ts22489,Goosebumps,SHOW,1995,TV-PG,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']",tt0111987,7.6
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",tt4834194,7.2
ts21034,InuYasha,SHOW,2000,TV-14,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",tt0290223,7.9
tm53419,Any Given Sunday,MOVIE,1999,R,"['drama', 'sport']",tt0146838,6.9
tm189764,Menace II Society,MOVIE,1993,R,"['drama', 'crime', 'thriller']",tt0107554,7.5
tm9323,Desperado,MOVIE,1995,R,"['thriller', 'action', 'crime', 'western', 'european']",tt0112851,7.1
tm46173,The Mask of Zorro,MOVIE,1998,PG-13,"['action', 'thriller', 'western', 'comedy', 'romance']",tt0120746,6.8
tm19673,The Patriot,MOVIE,2000,R,"['drama', 'action', 'history', 'war']",tt0187393,7.2
tm24877,Road Trip,MOVIE,2000,R,['comedy'],tt0215129,6.5
tm189433,Free Willy,MOVIE,1993,PG,"['drama', 'family']",tt0106965,6
ts251477,My First Errand,SHOW,1991,TV-G,['reality'],,
tm1822,3 Ninjas Kick Back,MOVIE,1994,PG,"['action', 'comedy', 'family', 'sport']",tt15327306,4.5
tm187791,In the Line of Fire,MOVIE,1993,R,"['drama', 'thriller', 'action', 'crime']",tt0107206,7.2
tm19494,The Replacements,MOVIE,2000,PG-13,"['comedy', 'sport']",tt0191397,6.6
tm10739,Johnny Mnemonic,MOVIE,1995,R,"['scifi', 'thriller', 'action', 'drama']",tt0113481,5.6
tm113576,Little Women,MOVIE,1994,PG,"['drama', 'family', 'romance']",tt0110367,7.3
tm191387,Anaconda,MOVIE,1997,PG-13,"['thriller', 'horror', 'action']",tt0118615,4.8
tm6859,My Girl,MOVIE,1991,PG,"['comedy', 'drama', 'family', 'romance', 'european']",tt0102492,6.9
tm186589,Cliffhanger,MOVIE,1993,R,"['thriller', 'action', 'animation']",tt0106582,6.5
tm191374,I Know What You Did Last Summer,MOVIE,1997,R,"['horror', 'thriller']",tt0119345,5.7
tm8446,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,1991,PG,"['scifi', 'action', 'comedy', 'family']",tt0103060,6
ts8570,Barney & Friends,SHOW,1992,TV-G,['family'],tt0144701,3.8
tm21596,Hollow Man,MOVIE,2000,R,"['scifi', 'action', 'horror', 'thriller']",tt0164052,5.8
tm48430,Godzilla,MOVIE,1998,PG-13,"['thriller', 'scifi', 'action']",tt0120685,5.4
